,Game,Platform,Gener,Publisher,North_America,Europe,Japan,Rest_of _World,Global,Good_Sale,Count_Games
11169,World Soccer Winning Eleven 6 International,PS2,Sports,Konami Digital Entertainment,0.12,1.26,1.16,0.45,2.99,1,637
11170,World Soccer Winning Eleven 7,PS2,Sports,Konami Digital Entertainment,0.12,0.09,0.0,0.03,0.24,0,637
11171,World Soccer Winning Eleven 7 International,PS2,Sports,Konami Digital Entertainment,0.08,1.24,1.13,0.45,2.9,1,637
11172,World Soccer Winning Eleven 7 International (JP version),PS2,Sports,Konami Digital Entertainment,0.0,0.0,0.54,0.0,0.54,0,637
11173,World Soccer Winning Eleven 8 International,PS2,Sports,Konami Digital Entertainment,0.23,1.91,1.12,0.68,3.94,2,637
11174,World Soccer Winning Eleven 8: Liveware Evolution,PS2,Sports,Konami Digital Entertainment,0.0,0.0,0.47,0.0,0.47,0,637
11175,World Soccer Winning Eleven 9,PS2,Sports,Konami Digital Entertainment,0.18,2.59,0.92,0.8,4.5,2,637
11176,World Soccer Winning Eleven 9 (JP & Others sales),PSP,Sports,Konami Digital Entertainment,0.01,0.88,0.31,0.0,1.2,0,637
11177,World Soccer Winning Eleven 9 (US sales),PSP,Sports,Konami Digital Entertainment,0.05,0.0,0.0,0.0,0.06,0,637
11178,World Soccer Winning Eleven 9 Bonus Pack,PS2,Sports,Konami Digital Entertainment,0.0,0.0,0.14,0.0,0.14,0,637
11179,World Sports Competition,PS3,Sports,Hudson Soft,0.02,0.0,0.0,0.01,0.03,0,76
11180,World Stadium 2,PS,Sports,Namco Bandai Games,0.0,0.0,0.42,0.03,0.45,0,765
11181,World Stadium 3,PS,Sports,Namco Bandai Games,0.0,0.0,0.31,0.02,0.33,0,765
11182,World Stadium 4,PS,Sports,Namco Bandai Games,0.0,0.0,0.15,0.01,0.16,0,765
11183,World Stadium 5,PS,Sports,Namco Bandai Games,0.0,0.0,0.09,0.01,0.09,0,765
11184,World Stadium EX,PS,Sports,Namco Bandai Games,0.0,0.0,0.41,0.03,0.44,0,765
11185,World Tour Soccer,PSP,Sports,Sony Computer Entertainment,0.1,0.63,0.0,0.34,1.07,0,617
11186,World Tour Soccer 06,PSP,Sports,Sony Computer Entertainment,0.07,0.0,0.0,0.01,0.07,0,617
11187,World Tour Soccer 2002,PS2,Sports,Sony Computer Entertainment,0.07,0.05,0.0,0.02,0.14,0,617
11188,World Tour Soccer 2003,PS2,Sports,Sony Computer Entertainment,0.07,0.05,0.0,0.02,0.14,0,617
11189,World Tour Soccer 2005,PS2,Sports,Sony Computer Entertainment,0.08,0.06,0.0,0.02,0.16,0,617
11190,World Tour Soccer 2006,PS2,Sports,Sony Computer Entertainment,0.08,0.06,0.0,0.02,0.17,0,617
11191,World Trigger: Borderless Mission,PSV,Action,Namco Bandai Games,0.0,0.0,0.04,0.0,0.04,0,765
11192,World War II Combat: Road To Berlin,XB,Shooter,Groove Games,0.02,0.01,0.0,0.0,0.03,0,2
11193,World in Conflict,PC,Strategy,Vivendi Games,0.0,0.03,0.0,0.01,0.04,0,86
11194,World in Conflict: Complete Edition,PC,Strategy,Ubisoft,0.0,0.03,0.0,0.01,0.04,0,564
11195,World of Dragon Warrior - Torneko: The Last Hope,PS,Role-Playing,Enix Corporation,0.02,0.01,0.58,0.04,0.65,1,28
11196,World of Final Fantasy,PS4,Role-Playing,Square Enix,0.12,0.2,0.16,0.07,0.54,0,152
11197,World of Goo,PC,Puzzle,2D Boy,0.0,0.03,0.0,0.01,0.04,0,1
11198,World of Outlaws: Sprint Cars,X360,Racing,THQ,0.17,0.0,0.0,0.01,0.18,0,394
11199,World of Outlaws: Sprint Cars 2002,PS2,Racing,Ignition Entertainment,0.23,0.18,0.0,0.06,0.48,1,48
11200,World of Tanks,PC,Shooter,Wargaming.net,0.0,0.23,0.0,0.05,0.29,1,1
11201,World of Warcraft,PC,Role-Playing,Activision,0.08,6.21,0.0,0.0,6.29,2,401
11202,World of Warcraft: Cataclysm,PC,Role-Playing,Activision,1.77,0.32,0.0,0.0,2.08,1,401
11203,World of Warcraft: Legion,PC,Role-Playing,Activision,0.13,0.16,0.0,0.03,0.32,0,401
11204,World of Warcraft: Mists of Pandaria,PC,Role-Playing,Activision,0.84,0.76,0.0,0.22,1.82,0,401
11205,World of Warcraft: The Burning Crusade,PC,Role-Playing,Activision,2.57,1.52,0.0,0.0,4.09,2,401
11206,World of Warcraft: Warlords of Draenor,PC,Action,Activision Blizzard,0.08,0.36,0.0,0.03,0.47,1,1
11207,World of Warcraft: Wrath of the Lich King,PC,Role-Playing,Activision,0.01,0.13,0.0,1.18,1.32,0,401
11208,World of Zoo,DS,Simulation,THQ,0.8200000000000001,0.37,0.0,0.12,1.31,0,394
11209,World's Scariest Police Chases,PS,Racing,Activision,0.2,0.14,0.0,0.02,0.36,0,401
11210,WorldShift,PC,Strategy,Playlogic Game Factory,0.02,0.0,0.0,0.0,0.02,0,10
11211,Worldwide Soccer,SAT,Sports,Sega,0.0,0.0,0.06,0.0,0.06,0,469
11212,Worldwide Soccer Manager 2006,PC,Sports,Sega,0.0,0.01,0.0,0.0,0.02,0,469
11213,Worldwide Soccer Manager 2007,PC,Sports,Sega,0.0,0.02,0.0,0.0,0.02,0,469
11214,Worldwide Soccer Manager 2008,PC,Sports,Russel,0.0,1.12,0.0,0.0,1.12,2,6
11215,Worldwide Soccer Manager 2009,PC,Simulation,Sega,0.0,1.14,0.0,0.01,1.15,0,469
11216,Worms,PS3,Strategy,Sony Computer Entertainment,0.0,0.04,0.0,0.01,0.04,0,617
11217,Worms 2,PC,Strategy,Microprose,0.0,0.01,0.0,0.0,0.01,0,5
11218,Worms 3D,PS2,Strategy,Sega,0.15,0.07,0.0,0.02,0.25,0,469
11219,Worms 4: Mayhem,XB,Strategy,Codemasters,0.03,0.01,0.0,0.0,0.04,0,75
11220,Worms Armageddon,PS,Strategy,Microprose,0.21,0.8200000000000001,0.0,0.08,1.1,2,5
11221,Worms Blast,GC,Puzzle,Ubisoft,0.05,0.01,0.0,0.0,0.06,0,564
11222,Worms Forts: Under Siege,PS2,Strategy,Acclaim Entertainment,0.1,0.05,0.0,0.01,0.18,0,114
11223,Worms Reloaded,PC,Strategy,Team17 Software,0.0,0.04,0.0,0.01,0.05,0,1
11224,Worms World Party,GBA,Strategy,Ubisoft,0.04,0.02,0.0,0.0,0.07,0,564
11225,Worms: A Space Oddity,Wii,Strategy,THQ,0.06,0.02,0.0,0.01,0.08,0,394
11226,Worms: Battle Islands,Wii,Strategy,THQ,0.1,0.1,0.0,0.02,0.22,0,394
11227,Worms: Open Warfare,PSP,Strategy,THQ,0.16,0.45,0.0,0.24000000000000002,0.85,0,394
11228,Worms: Open Warfare 2,PSP,Strategy,THQ,0.11000000000000001,0.5,0.0,0.18000000000000002,0.79,0,394
11229,Worms: Ultimate Mayhem,PC,Strategy,Unknown,0.0,0.03,0.0,0.0,0.04,0,148
11230,Worms: WMD,PS4,Action,Sold Out,0.02,0.02,0.0,0.0,0.04,0,1
11231,Wrath Unleashed,PS2,Strategy,LucasArts,0.07,0.04,0.0,0.01,0.12000000000000001,0,38
11232,Wreckin Crew,PS,Racing,Telstar,0.05,0.03,0.0,0.01,0.08,0,3
11233,Wrecking Crew,NES,Platform,Nintendo,0.0,0.0,0.51,0.0,0.51,0,665
11234,Wreckless: ThE YaKuza MisSiOns,XB,Racing,Activision,0.57,0.2,0.02,0.05,0.85,0,401
11235,Wrestle Angels: Survivor 2,PS2,Fighting,Tryfirst,0.0,0.0,0.03,0.0,0.03,0,1
11236,Wrestle Kingdom,PS2,Fighting,Yuke's,0.0,0.0,0.03,0.0,0.03,0,3
11237,Wrestle Kingdom 2: Pro Wrestling Sekai Taisen,PS2,Fighting,Yuke's,0.0,0.0,0.02,0.0,0.02,0,3
11238,Writing and Speaking Beautiful Japanese DS,DS,Misc,Unknown,0.0,0.0,0.02,0.0,0.02,0,148
11239,Wu-Tang: Shaolin Style,PS,Fighting,Activision,0.27,0.18,0.0,0.03,0.48,0,401
11240,X Rebirth,PC,Simulation,Koch Media,0.0,0.08,0.0,0.0,0.08,0,9
11241,X-Blades,X360,Action,SouthPeak Games,0.17,0.05,0.04,0.02,0.27,1,30
11242,X-COM: UFO Defense,PS,Strategy,Microprose,0.05,0.04,0.0,0.01,0.09,0,5
11243,X-Man,2600,Action,Universal Gamex,0.58,0.04,0.0,0.01,0.63,1,1
11244,X-Men Legends,PS2,Role-Playing,Activision,2.03,1.07,0.0,0.26,3.36,2,401
11245,X-Men Legends II: Rise of Apocalypse,PS2,Role-Playing,Activision,1.27,0.2,0.0,0.13999999999999999,1.6099999999999999,0,401
11246,X-Men Origins: Wolverine,Wii,Action,Activision,0.6,0.1,0.0,0.12,0.8200000000000001,0,401
11247,X-Men Origins: Wolverine - Uncaged Edition,PS3,Action,Activision,0.75,0.52,0.0,0.18,1.46,0,401
11248,X-Men vs. Street Fighter,PS,Fighting,Capcom,0.16,0.11,0.38,0.03,0.6799999999999999,0,266
11249,X-Men: Children of the Atom,SAT,Fighting,Acclaim Entertainment,0.06,0.04,0.21,0.01,0.31,0,114
11250,X-Men: Destiny,PS3,Action,Activision,0.44,0.14,0.0,0.06,0.64,0,401
11251,X-Men: Mutant Academy 2,PS,Fighting,Activision,0.4,0.27,0.0,0.05,0.72,0,401
11252,X-Men: Next Dimension,PS2,Fighting,Activision,0.41000000000000003,0.22999999999999998,0.0,0.06,0.71,0,401
11253,X-Men: Reign of Apocalypse,GBA,Action,Activision,0.2,0.08,0.0,0.01,0.28,0,401
